wall_ms,sse,stage
136002,38.73967527143775,construct
153476,36.22914574294796,schedule
155691,28.979897534932483,schedule
156475,28.89442606478696,schedule
157131,28.862883826063566,schedule
157756,28.283773133211948,schedule
159110,28.181934974531583,schedule
159919,27.364725266863292,schedule
160787,27.364691322907447,schedule
161349,27.27530296181379,schedule
161864,27.275296733245064,schedule
162501,25.442680749301257,schedule
163015,25.442671958786384,schedule
163641,24.254153199089544,schedule
164398,24.14169222893623,schedule
164973,24.072816128944506,schedule
165569,24.06963522002849,schedule
166131,24.049169513068847,schedule
166748,23.957930063623724,schedule
167337,23.709468765470568,schedule
167908,23.70816874725429,schedule
168442,23.678920856160158,schedule
169018,23.67655382936894,schedule
169594,23.629077897734877,schedule
170247,23.616650514260147,schedule
170832,23.593323277773173,schedule
171410,23.489769775964906,schedule
171990,23.420900654964118,schedule
172532,23.387378902809157,schedule
172954,23.360443578963114,schedule
173632,23.141420749291044,schedule
174319,23.114006772796014,schedule
175046,22.995074411432693,schedule
175779,22.99506226715104,schedule
176440,22.745911271319482,schedule
177053,22.7459104317763,schedule
177617,22.737166087488607,schedule
178220,22.707145225988327,schedule
178805,22.55197508944926,schedule
179629,22.484518431373445,schedule
180230,22.454919839282073,schedule
180820,22.321176769332453,schedule
181385,22.23878880701839,schedule
181928,22.11450855970331,schedule
182540,22.084403390938903,schedule
183101,22.08330119942186,schedule
183680,22.058400442195403,schedule
184239,22.052369247060295,schedule
184732,22.043673178116656,schedule
185272,22.024985880135304,schedule
185867,21.812236973118488,schedule
186452,21.795055615789376,schedule
187251,21.79415683274209,schedule
187836,21.509124433659274,schedule
188428,21.49840063362531,schedule
188999,21.431244264340453,schedule
189628,21.410829053370115,schedule
190243,21.395243888949754,schedule
190878,21.392306787191156,schedule
191471,21.310900181782028,schedule
192254,21.195701821807763,schedule
192857,21.188091107458654,schedule
193435,21.12654357861418,schedule
194165,20.929867977608115,schedule
194731,20.929188156989976,schedule
195304,20.91998379674404,schedule
195965,20.847047282900693,schedule
196597,20.81956153945985,schedule
197194,20.818332171267155,schedule
197873,20.77414558050256,schedule
199016,20.773122263975836,schedule
199695,20.739091729718684,schedule
200260,20.622721088574934,schedule
201030,20.60027986236185,schedule
201835,20.491851758134942,schedule
202441,20.45807496968171,schedule
203180,20.450699443631954,schedule
203733,20.4329814351344,schedule
204309,20.432248157835723,schedule
204982,20.427329041775327,schedule
205653,20.41662227656268,schedule
206228,20.398676599375907,schedule
206787,20.390090924809446,schedule
207437,20.385807726080117,schedule
208048,20.372876270188428,schedule
208617,20.359959459672943,schedule
209195,20.35860424687739,schedule
210130,20.340111969842336,schedule
210676,20.32839245204042,schedule
211243,20.323711265672028,schedule
211841,20.31546408423666,schedule
212395,20.308745231971738,schedule
212973,20.30548538716494,schedule
213566,20.3012177126207,schedule
214123,20.301217527562535,schedule
214636,20.300596081533694,schedule
215263,20.29663493885596,schedule
215888,20.28080411891426,schedule
216565,20.27780787690149,schedule
217301,20.232221848292944,schedule
217916,20.091031261929825,schedule
218477,20.08592457761481,schedule
219232,20.070041624188775,schedule
219850,20.06731842523414,schedule
220414,20.055839402877137,schedule
220937,20.031337018016742,schedule
221593,19.993731975873754,schedule
222227,19.968678645961546,schedule
222849,19.915734713937322,schedule
223456,19.896467869644184,schedule
224187,19.87243677761152,schedule
224785,19.840687428524294,schedule
225383,19.83923453096394,schedule
225924,19.82212514430449,schedule
226484,19.82099639526653,schedule
227091,19.81993648203639,schedule
227682,19.815893953436234,schedule
228251,19.81340076817364,schedule
228773,19.808394537388494,schedule
229353,19.786585276703015,schedule
229901,19.785718044760777,schedule
230476,19.78346593801914,schedule
230993,19.782604459747645,schedule
231875,19.779364386158488,schedule
232482,19.77822409926129,schedule
233030,19.776178208020557,schedule
233713,19.773431848552907,schedule
234295,19.771909715746876,schedule
234845,19.77010844732455,schedule
235437,19.76940530344749,schedule
236054,19.76414639467035,schedule
236648,19.763020093323906,schedule
237601,19.721877270993154,schedule
238270,19.62582928976797,schedule
238825,19.61913143542043,schedule
239435,19.580716923686907,schedule
240212,19.3627423245525,schedule
240825,19.360009772551074,schedule
241387,19.32370094936128,schedule
242278,19.278971502043266,schedule
243085,19.256929037875075,schedule
243702,19.13067076286978,schedule
244480,19.12687256446515,schedule
245308,19.119636268046886,schedule
245889,19.119199605500487,schedule
246548,19.113173834699662,schedule
247162,19.11307168909243,schedule
247742,19.106232332752526,schedule
248362,19.102585256085966,schedule
248972,19.09413094268327,schedule
249734,19.089373695838223,schedule
250433,19.02824945848702,schedule
251071,19.028104309912802,schedule
251613,19.0227766040289,schedule
252212,19.0211092408397,schedule
252804,19.006445762610145,schedule
253425,19.005287954205375,schedule
254059,18.998134678871235,schedule
254599,18.996021574988813,schedule
255209,18.99523448296694,schedule
255870,18.995042099051215,schedule
256413,18.99200219150801,schedule
256971,18.99175443574002,schedule
257590,18.98615355297315,schedule
258180,18.973601093875764,schedule
258810,18.970970097263223,schedule
259424,18.9709701353882,schedule
260002,18.961483666232706,schedule
260669,18.955826773152587,schedule
261270,18.944196917913384,schedule
261898,18.941578108833898,schedule
262518,18.866983250096908,schedule
263252,18.755340444416998,schedule
263888,18.69668401075464,schedule
264456,18.691554045032028,schedule
264960,18.69133041201456,schedule
265503,18.688585046669523,schedule
266249,18.687092447909876,schedule
266793,18.68023478477741,schedule
267432,18.679887845863096,schedule
267989,18.678596163897748,schedule
268561,18.678062369881197,schedule
269192,18.67763630257325,schedule
269783,18.675059050431575,schedule
